type,id,title,status,date,author,view_link,content_length
page,89,404 Page,elementor,Published2025/06/06 at 5:25 am,Valetkleen,https://valetkleen.com/404-page/,136
page,68,About Us,elementor,Published2025/06/05 at 10:48 pm,Valetkleen,https://valetkleen.com/about/,2837
page,118,Blog,elementor,Published2025/06/06 at 5:34 am,Valetkleen,https://valetkleen.com/blog/,281
page,880,Cart,"elementor,",Published2025/06/18 at 6:54 pm,Valetkleen,https://valetkleen.com/cart/,192
page,881,Checkout,checkout page,Published2025/06/18 at 6:54 pm,Valetkleen,https://valetkleen.com/checkout/,192
page,106,Contact Us,elementor,Published2025/06/06 at 5:31 am,Valetkleen,https://valetkleen.com/contact/,262
page,498,Dry Cleaning Services,elementor,Published2025/06/11 at 3:24 am,Valetkleen,https://valetkleen.com/dry-cleaning-services/,1910
page,127,FAQ,elementor,Published2025/06/06 at 5:36 am,Valetkleen,https://valetkleen.com/faq/,3
page,14,Home,"front page,",Published2025/06/05 at 10:34 pm,Valetkleen,https://valetkleen.com/,1707
page,502,Hotel Services,elementor,Published2025/06/11 at 3:26 am,Valetkleen,https://valetkleen.com/hotel-services/,363
page,182,Laundry Service,elementor,Published2025/06/06 at 5:47 am,Valetkleen,https://valetkleen.com/laundry-service/,506
page,1746,Let’s Keep In Touch,published,Published2025/08/08 at 9:39 pm,Valetkleen,https://valetkleen.com/lets-keep-in-touch/,227
page,882,My account,my account page,Published2025/06/18 at 6:54 pm,Valetkleen,https://valetkleen.com/my-account/,101
page,1627,Pickup and Delivery,elementor,Published2025/07/27 at 11:01 pm,Valetkleen,https://valetkleen.com/pickup-and-delivery/,461
page,3,Privacy Policy,"privacy policy page,",Published2025/06/05 at 10:24 pm,Valetkleen,https://valetkleen.com/privacy-policy/,11571
page,564,Service Areas,elementor,Published2025/06/11 at 12:18 pm,Valetkleen,https://valetkleen.com/service-areas/,223
page,190,Services,elementor,Published2025/06/06 at 5:49 am,Valetkleen,https://valetkleen.com/services/,1327
page,879,Shop,shop page,Published2025/06/18 at 6:54 pm,Valetkleen,https://valetkleen.com/shop/,2505
page,108,Single post,elementor,Published2025/06/06 at 5:33 am,Valetkleen,https://valetkleen.com/single-post/,2385
page,1172,Terms of Service,elementor,Published2025/06/26 at 11:28 am,Valetkleen,https://valetkleen.com/terms-of-service/,87593
product,1591,3pcs African men Agbada,published,Published2025/07/27 at 6:56 am,,https://valetkleen.com/product/3pcs-african-men-agbada/,464
product,1563,2 PC’s Men dashiki,published,Published2025/07/27 at 6:23 am,,https://valetkleen.com/product/2-pcs-men-dashiki/,444
product,1506,Chef Coat,published,Published2025/07/05 at 5:30 pm,,https://valetkleen.com/product/chef-coat/,132
product,1482,Sport Coats,published,Published2025/06/30 at 10:50 pm,,https://valetkleen.com/product/sport-coats/,140
product,1474,Tuxedo Shirt,published,Published2025/06/30 at 10:26 pm,,https://valetkleen.com/product/tuxedo-shirt/,144
product,1472,Tuxedo,published,Published2025/06/30 at 10:24 pm,,https://valetkleen.com/product/tuxedo/,121
product,1469,Curtains,published,Published2025/06/30 at 10:20 pm,,https://valetkleen.com/product/curtains/,375
product,1466,Wedding Dress,published,Published2025/06/30 at 10:17 pm,,https://valetkleen.com/product/wedding-dress/,345
product,1464,Coats,published,Published2025/06/30 at 10:14 pm,,https://valetkleen.com/product/coats/,384
product,1462,Robe,published,Published2025/06/30 at 10:12 pm,,https://valetkleen.com/product/robe/,112
product,1460,Brazer,published,Published2025/06/30 at 10:10 pm,,https://valetkleen.com/product/brazer/,120
product,1458,Hood,published,Published2025/06/30 at 10:08 pm,,https://valetkleen.com/product/hood/,112
product,1455,Jump Suit,published,Published2025/06/30 at 10:04 pm,,https://valetkleen.com/product/jump-suit/,326
product,1453,Tie,published,Published2025/06/30 at 10:01 pm,,https://valetkleen.com/product/tie/,108
product,1451,Scarf,published,Published2025/06/30 at 9:58 pm,,https://valetkleen.com/product/scarf/,116
product,1449,2pc Dress,published,Published2025/06/30 at 9:56 pm,,https://valetkleen.com/product/2pc-dress/,133
product,1339,40″x45″ King Size Premium Laundry Bag (35 lb),published,Published2025/06/26 at 3:13 pm,,https://valetkleen.com/product/40x45-king-size-premium-laundry-bag/,251
product,1334,30″x40″Large Laundry Bag (25 lb),published,Published2025/06/26 at 3:09 pm,,https://valetkleen.com/product/30x40large-laundry-bag/,199
product,1333,24″x36″ Medium Laundry Bag (18 lb),published,Published2025/06/26 at 3:09 pm,,https://valetkleen.com/product/24x36-medium-laundry-bag/,207
product,1331,22″x28″ Small Laundry Bags (12 lb),published,Published2025/06/26 at 3:06 pm,,https://valetkleen.com/product/22x28-small-laundry-bags/,233
product,1324,Apron,published,Published2025/06/26 at 3:00 pm,,https://valetkleen.com/product/apron/,116
product,1322,Jacket,published,Published2025/06/26 at 2:58 pm,,https://valetkleen.com/product/jacket/,120
product,1319,2 Piece Suit,published,Published2025/06/26 at 2:55 pm,,https://valetkleen.com/product/2-piece-suit/,145
product,1318,Polo Shirt,published,Published2025/06/26 at 2:52 pm,,https://valetkleen.com/product/polo-shirt/,136
product,1316,Ladies Shirt,published,Published2025/06/26 at 2:49 pm,,https://valetkleen.com/product/ladies-shirt/,144
product,923,Mattress Cover (Queen/King),published,Published2025/06/19 at 4:19 am,,https://valetkleen.com/product/mattress-cover-queen-king/,195
product,921,Mattress Cover (Twin/Full),published,Published2025/06/19 at 4:18 am,,https://valetkleen.com/product/mattress-cover-twin-full/,191
product,919,Blanket (Queen/King),published,Published2025/06/19 at 4:17 am,,https://valetkleen.com/product/blanket-queen-king/,167
product,917,Blanket (Full/Twin),published,Published2025/06/19 at 4:16 am,,https://valetkleen.com/product/blanket-full-twin/,163
product,915,Comforter (Queen/King),published,Published2025/06/19 at 4:15 am,,https://valetkleen.com/product/comforter-queen-king/,175
product,913,Comforter (Twin/Full),published,Published2025/06/19 at 4:13 am,,https://valetkleen.com/product/comforter-twin-full/,171
product,911,3 Piece Suit,published,Published2025/06/19 at 4:12 am,,https://valetkleen.com/product/suits/,145
product,909,Dresses,published,Published2025/06/19 at 4:11 am,,https://valetkleen.com/product/dresses/,450
product,907,Blazers,published,Published2025/06/19 at 4:10 am,,https://valetkleen.com/product/blazers/,124
product,905,Sweaters,published,Published2025/06/19 at 4:08 am,,https://valetkleen.com/product/sweaters/,128
product,903,Skirts,published,Published2025/06/19 at 4:07 am,,https://valetkleen.com/product/skirts/,120
product,901,Blouses,published,Published2025/06/19 at 4:06 am,,https://valetkleen.com/product/blouses/,124
product,898,Office Shirt (Dry-Clean),published,Published2025/06/19 at 4:04 am,,https://valetkleen.com/product/shirts/,156
product,894,Pants,published,Published2025/06/19 at 3:59 am,,https://valetkleen.com/product/pants/,241
product,884,Office Shirt (Laundry),published,Published2025/06/18 at 7:22 pm,,https://valetkleen.com/product/office-shirt/,589
shop_coupon,1618,welcome,published,,,,0
elementor_library,204,Services,published,Published2025/06/06 at 5:50 am,Valetkleen,https://valetkleen.com/?elementor_library=services,1707
elementor_library,184,Metform Booking,published,Published2025/06/06 at 5:47 am,Valetkleen,https://valetkleen.com/?elementor_library=metform-booking,1707
elementor_library,175,Service Details,published,Published2025/06/06 at 5:45 am,Valetkleen,https://valetkleen.com/?elementor_library=service-details,1707
elementor_library,165,Team,published,Published2025/06/06 at 5:43 am,Valetkleen,https://valetkleen.com/?elementor_library=team,1707
elementor_library,149,Pricing,published,Published2025/06/06 at 5:40 am,Valetkleen,https://valetkleen.com/?elementor_library=pricing,1707
elementor_library,138,Contact,published,Published2025/06/06 at 5:38 am,Valetkleen,https://valetkleen.com/?elementor_library=contact,1707
elementor_library,131,FAQ,published,Published2025/06/06 at 5:36 am,Valetkleen,https://valetkleen.com/?elementor_library=faq,1707
elementor_library,121,Blog,published,Published2025/06/06 at 5:35 am,Valetkleen,https://valetkleen.com/?elementor_library=blog,1707
elementor_library,112,Single Post,published,Published2025/06/06 at 5:33 am,Valetkleen,https://valetkleen.com/?elementor_library=single-post,1707
elementor_library,103,Metform Contact,published,Published2025/06/06 at 5:28 am,Valetkleen,https://valetkleen.com/?elementor_library=metform-contact,1707
elementor_library,95,404 Page,published,Published2025/06/06 at 5:26 am,Valetkleen,https://valetkleen.com/?elementor_library=404-page,1707
elementor_library,81,About,published,Published2025/06/05 at 10:50 pm,Valetkleen,https://valetkleen.com/?elementor_library=about,1707
elementor_library,62,Footer,published,Published2025/06/05 at 10:42 pm,Valetkleen,https://valetkleen.com/?elementor_library=footer,1707
elementor_library,51,Header,published,Published2025/06/05 at 10:41 pm,Valetkleen,https://valetkleen.com/?elementor_library=header,1707
elementor_library,43,Home,published,Published2025/06/05 at 10:37 pm,Valetkleen,https://valetkleen.com/?elementor_library=home,1707
elementor_library,10,Kit Styles: Dryze – Dry Cleaning & Laundry Service Elementor Template Kit,published,Published2025/06/05 at 10:32 pm,Valetkleen,https://valetkleen.com/?elementor_library=global-kit-styles,1707
elementor_library,7,Default Kit,published,Published2025/06/05 at 10:29 pm,Valetkleen,https://valetkleen.com/?elementor_library=default-kit,1707
elementor_library#add_new,204,Services,published,Published2025/06/06 at 5:50 am,Valetkleen,https://valetkleen.com/?elementor_library=services,1707
elementor_library#add_new,184,Metform Booking,published,Published2025/06/06 at 5:47 am,Valetkleen,https://valetkleen.com/?elementor_library=metform-booking,1707
elementor_library#add_new,175,Service Details,published,Published2025/06/06 at 5:45 am,Valetkleen,https://valetkleen.com/?elementor_library=service-details,1707
elementor_library#add_new,165,Team,published,Published2025/06/06 at 5:43 am,Valetkleen,https://valetkleen.com/?elementor_library=team,1707
elementor_library#add_new,149,Pricing,published,Published2025/06/06 at 5:40 am,Valetkleen,https://valetkleen.com/?elementor_library=pricing,1707
elementor_library#add_new,138,Contact,published,Published2025/06/06 at 5:38 am,Valetkleen,https://valetkleen.com/?elementor_library=contact,1707
elementor_library#add_new,131,FAQ,published,Published2025/06/06 at 5:36 am,Valetkleen,https://valetkleen.com/?elementor_library=faq,1707
elementor_library#add_new,121,Blog,published,Published2025/06/06 at 5:35 am,Valetkleen,https://valetkleen.com/?elementor_library=blog,1707
elementor_library#add_new,112,Single Post,published,Published2025/06/06 at 5:33 am,Valetkleen,https://valetkleen.com/?elementor_library=single-post,1707
elementor_library#add_new,103,Metform Contact,published,Published2025/06/06 at 5:28 am,Valetkleen,https://valetkleen.com/?elementor_library=metform-contact,1707
elementor_library#add_new,95,404 Page,published,Published2025/06/06 at 5:26 am,Valetkleen,https://valetkleen.com/?elementor_library=404-page,1707
elementor_library#add_new,81,About,published,Published2025/06/05 at 10:50 pm,Valetkleen,https://valetkleen.com/?elementor_library=about,1707
elementor_library#add_new,62,Footer,published,Published2025/06/05 at 10:42 pm,Valetkleen,https://valetkleen.com/?elementor_library=footer,1707
elementor_library#add_new,51,Header,published,Published2025/06/05 at 10:41 pm,Valetkleen,https://valetkleen.com/?elementor_library=header,1707
elementor_library#add_new,43,Home,published,Published2025/06/05 at 10:37 pm,Valetkleen,https://valetkleen.com/?elementor_library=home,1707
elementor_library#add_new,10,Kit Styles: Dryze – Dry Cleaning & Laundry Service Elementor Template Kit,published,Published2025/06/05 at 10:32 pm,Valetkleen,https://valetkleen.com/?elementor_library=global-kit-styles,1707
elementor_library#add_new,7,Default Kit,published,Published2025/06/05 at 10:29 pm,Valetkleen,https://valetkleen.com/?elementor_library=default-kit,1707
elementor-hf,59,Footer,elementor,Published2025/06/05 at 10:41 pm,,https://valetkleen.com/elementor-hf/footer/,1707
elementor-hf,49,Header,elementor,Published2025/06/05 at 10:39 pm,,https://valetkleen.com/elementor-hf/header/,1707
